SCN,mfi_lab,wfi_lab
C10,7.552,6.839
C11,6.389,5.978
C12,5.171,5.299
C13,4.47,4.979
C14,3.659,4.425
C15,3.533,4.633
C16,2.629,3.716
C17,2.115,3.191
C18,1.903,3.041
C19,1.577,2.64
C20,1.357,2.376
C21,1.19,2.204
C22,1.027,1.994
C23,0.893,1.807
C24,0.796,1.678
C25,0.707,1.553
C26,0.594,1.358
C27,0.531,1.263
C28,0.465,1.149
C29,0.426,1.091
C30,0.367,0.971
C31,0.31,0.848
C32,0.247,0.699
C33,0.216,0.629
C34,0.18,0.542
C35,0.15,0.466
C36+,0.534,1.803
