,SCN,mfi_lab,wfi_lab,MWi_lab,ubound_init,ubound,wni_lab,y,Q,P0,P1,Mi,Wi,Wni,Zni
0,C9,,,,,131.3544910687471,,0.0,0.0,0.0,0.0,,,,
1,C10,8.216000000000001,6.877000000000001,140.45284810126583,142.78382108061328,142.3887711012585,0.09256716739352823,0.11667902930249978,0.12219366336355583,0.14619453675785762,0.008834754022111008,136.43846836983442,19.946558679279555,0.09256698123868135,0.14619453675785765
2,C11,7.138,6.172999999999999,145.11479405996076,152.02227918486255,154.54397014646472,0.08309104614224948,0.24521091551479304,0.2080472809318278,0.26696452449792474,0.03309536532119878,148.25434696500824,17.904675665375702,0.08309111376305688,0.12076998774006711
3,C12,5.94,5.626,158.92976430976432,165.83901814286114,166.93314061321848,0.07572820761320195,0.3762168696563267,0.2670791544674756,0.368600313938245,0.06837251471309375,160.55477695166448,16.318111503896954,0.07572826700181937,0.10163578944032026
4,C13,5.324,5.481,172.74827197595795,180.14801807919144,180.26548555255556,0.07377644968502664,0.5171961688280454,0.3078716680691452,0.4602793420588354,0.11419604876522921,173.40380008063943,15.897491863810181,0.073776276638039,0.09167902812059041
5,C14,4.495,5.024,187.54776418242494,195.46068209121248,193.7441764283999,0.06762504711139825,0.6597229637823364,0.33151731765206144,0.5382818390312215,0.16561810613092715,186.81466499196233,14.572010340432865,0.06762504898621638,0.07800249697238609
6,C15,4.25,5.151,203.3736,211.26241205273072,209.07027728633474,0.06933451784848972,0.8217846991948141,0.3427577419834004,0.6125499859824405,0.22725071862389357,201.16941561497018,14.940479720983449,0.06933502306168865,0.07426814695121897
7,C16,3.1860000000000004,4.1610000000000005,219.1512241054614,226.5525026477403,222.82077151972817,0.05600872233887901,0.967185605720186,0.3425945230279581,0.6684863120554954,0.2833705216436311,215.75838512398502,12.068731383290979,0.056007958540351656,0.05593632607305488
8,C17,2.605,3.6319999999999997,233.9537811900192,240.86238582915797,236.06543190139905,0.04888817100091529,1.1072377080976268,0.3358945928456221,0.7144344050833491,0.3368501095858506,229.27211011708295,10.534616244352055,0.04888851455166731,0.04594809302785375
9,C18,2.4130000000000003,3.563,247.77099046829673,253.71769011109467,250.45522277647487,0.047959403435093945,1.2593986851820265,0.3234954877509462,0.756952265907548,0.3933059957956632,243.06090423248153,10.3344296979606,0.04795949894641888,0.04251786082419895
10,C19,1.9909999999999999,3.0810000000000004,259.6643897538926,265.5557924379219,264.2892285569393,0.04147149087384913,1.4056826621224217,0.3081716367064127,0.7916984985886026,0.44527800592059014,257.18967108725803,8.936372154761766,0.04147146417045934,0.0347462326810546
11,C20,1.64,2.653,271.44719512195127,279.2973286995216,277.49436057551145,0.0357104398858558,1.5453167824455112,0.29156763441801736,0.8201219535708021,0.49236627611576933,270.72669052050844,7.694987900489513,0.035710510874060214,0.028423454982199444
12,C21,1.4580000000000002,2.495,287.1474622770919,294.1276200274349,291.27724203940005,0.03358369676411995,1.691060159037334,0.2730634822685545,0.8455848681526794,0.5386299936934384,284.2070447919444,7.236739705105063,0.03358389581294311,0.025462914581877327
13,C22,1.26,2.261,301.1077777777778,307.58396070217435,305.19791665918814,0.030433963280030146,1.838260592331317,0.25385230099437467,0.8675869201387075,0.582227631025551,298.0561999522014,6.557848006106325,0.03043332953357815,0.022002051986028115
14,C23,1.114,2.085,314.0601436265709,320.39137886722733,319.55863753801435,0.028064932967210462,1.9901141765514574,0.2340436467318437,0.8869584111303637,0.6238663359699748,312.18614254207864,6.047511047973755,0.028064983575338417,0.019371490991656134
